Year,Round,Winner,Loser,Winner_Code,Loser_Code,Tm_Win,Total_Bench_PTS_Win,Team_Games_Played_Win,Winner_Bench_PPG,Tm_Lose,Total_Bench_PTS_Lose,Team_Games_Played_Lose,Loser_Bench_PPG,Bench_Differential
2024.0,Eastern Conf Semifinals,Boston Celtics,Cleveland Cavaliers,BOS,CLE,BOS,21.9,19,1.1526315789473685,CLE,27.5,12,2.2916666666666665,-1.139035087719298
2024.0,Eastern Conf Finals,Boston Celtics,Indiana Pacers,BOS,IND,BOS,21.9,19,1.1526315789473685,IND,37.4,17,2.1999999999999997,-1.0473684210526313
2024.0,Western Conf Finals,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,DAL,31.8,22,1.4454545454545455,MIN,32.2,16,2.0125,-0.5670454545454546
2024.0,Finals,Boston Celtics,Dallas Mavericks,BOS,DAL,BOS,21.9,19,1.1526315789473685,DAL,31.8,22,1.4454545454545455,-0.2928229665071771
2023.0,Eastern Conf First Round,Miami Heat,Milwaukee Bucks,MIA,MIL,MIA,48.699999999999996,23,2.117391304347826,MIL,42.0,5,8.4,-6.282608695652174
2023.0,Eastern Conf First Round,New York Knicks,Cleveland Cavaliers,NYK,CLE,NYK,29.9,11,2.7181818181818183,CLE,21.2,5,4.24,-1.521818181818182
2023.0,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,PHI,BRK,PHI,26.5,11,2.409090909090909,BRK,26.1,4,6.525,-4.115909090909091
2023.0,Eastern Conf First Round,Boston Celtics,Atlanta Hawks,BOS,ATL,BOS,34.0,20,1.7,ATL,31.1,6,5.183333333333334,-3.4833333333333334
2023.0,Western Conf First Round,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,DEN,23.599999999999998,20,1.18,MIN,23.0,5,4.6,-3.42
2023.0,Western Conf First Round,Phoenix Suns,Los Angeles Clippers,PHO,LAC,PHO,29.8,11,2.709090909090909,LAC,27.4,5,5.4799999999999995,-2.7709090909090905
2023.0,Western Conf First Round,Golden State Warriors,Sacramento Kings,GSW,SAC,GSW,35.9,13,2.7615384615384615,SAC,44.8,7,6.3999999999999995,-3.638461538461538
2023.0,Western Conf First Round,Los Angeles Lakers,Memphis Grizzlies,LAL,MEM,LAL,36.1,16,2.25625,MEM,25.9,6,4.316666666666666,-2.0604166666666663
2023.0,Eastern Conf Semifinals,Miami Heat,New York Knicks,MIA,NYK,MIA,48.699999999999996,23,2.117391304347826,NYK,29.9,11,2.7181818181818183,-0.6007905138339922
2023.0,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,34.0,20,1.7,PHI,26.5,11,2.409090909090909,-0.7090909090909092
2023.0,Western Conf Semifinals,Denver Nuggets,Phoenix Suns,DEN,PHO,DEN,23.599999999999998,20,1.18,PHO,29.8,11,2.709090909090909,-1.529090909090909
2023.0,Western Conf Semifinals,Los Angeles Lakers,Golden State Warriors,LAL,GSW,LAL,36.1,16,2.25625,GSW,35.9,13,2.7615384615384615,-0.5052884615384614
2023.0,Western Conf Finals,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,23.599999999999998,20,1.18,LAL,36.1,16,2.25625,-1.0762500000000002
2023.0,Eastern Conf Finals,Miami Heat,Boston Celtics,MIA,BOS,MIA,48.699999999999996,23,2.117391304347826,BOS,34.0,20,1.7,0.4173913043478261
2023.0,Finals,Denver Nuggets,Miami Heat,DEN,MIA,DEN,23.599999999999998,20,1.18,MIA,48.699999999999996,23,2.117391304347826,-0.9373913043478261
2022.0,Eastern Conf First Round,Milwaukee Bucks,Chicago Bulls,MIL,CHI,MIL,35.1,12,2.9250000000000003,CHI,27.4,5,5.4799999999999995,-2.5549999999999993
2022.0,Western Conf First Round,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,MEM,43.4,12,3.6166666666666667,MIN,42.8,6,7.133333333333333,-3.516666666666666
2022.0,Eastern Conf First Round,Boston Celtics,Brooklyn Nets,BOS,BRK,BOS,30.5,24,1.2708333333333333,BRK,31.3,4,7.825,-6.554166666666667
2022.0,Western Conf First Round,Golden State Warriors,Denver Nuggets,GSW,DEN,GSW,44.6,22,2.0272727272727273,DEN,36.0,5,7.2,-5.172727272727273
2022.0,Western Conf First Round,Dallas Mavericks,Utah Jazz,DAL,UTA,DAL,37.8,18,2.0999999999999996,UTA,32.9,6,5.483333333333333,-3.3833333333333337
2022.0,Eastern Conf First Round,Philadelphia 76ers,Toronto Raptors,PHI,TOR,PHI,22.2,12,1.8499999999999999,TOR,29.799999999999997,6,4.966666666666666,-3.1166666666666663
2022.0,Western Conf First Round,Phoenix Suns,New Orleans Pelicans,PHO,NOP,PHO,38.5,13,2.9615384615384617,NOP,31.4,6,5.233333333333333,-2.2717948717948717
2022.0,Eastern Conf First Round,Miami Heat,Atlanta Hawks,MIA,ATL,MIA,49.0,18,2.7222222222222223,ATL,42.5,5,8.5,-5.777777777777778
2022.0,Eastern Conf Semifinals,Boston Celtics,Milwaukee Bucks,BOS,MIL,BOS,30.5,24,1.2708333333333333,MIL,35.1,12,2.9250000000000003,-1.654166666666667
2022.0,Eastern Conf Semifinals,Miami Heat,Philadelphia 76ers,MIA,PHI,MIA,49.0,18,2.7222222222222223,PHI,22.2,12,1.8499999999999999,0.8722222222222225
2022.0,Western Conf Semifinals,Dallas Mavericks,Phoenix Suns,DAL,PHO,DAL,37.8,18,2.0999999999999996,PHO,38.5,13,2.9615384615384617,-0.861538461538462
2022.0,Western Conf Semifinals,Golden State Warriors,Memphis Grizzlies,GSW,MEM,GSW,44.6,22,2.0272727272727273,MEM,43.4,12,3.6166666666666667,-1.5893939393939394
2022.0,Western Conf Finals,Golden State Warriors,Dallas Mavericks,GSW,DAL,GSW,44.6,22,2.0272727272727273,DAL,37.8,18,2.0999999999999996,-0.07272727272727231
2022.0,Eastern Conf Finals,Boston Celtics,Miami Heat,BOS,MIA,BOS,30.5,24,1.2708333333333333,MIA,49.0,18,2.7222222222222223,-1.451388888888889
2022.0,Finals,Golden State Warriors,Boston Celtics,GSW,BOS,GSW,44.6,22,2.0272727272727273,BOS,30.5,24,1.2708333333333333,0.7564393939393941
2021.0,Eastern Conf First Round,Milwaukee Bucks,Miami Heat,MIL,MIA,MIL,33.4,23,1.452173913043478,MIA,32.4,4,8.1,-6.647826086956521
2021.0,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,LAC,42.9,19,2.2578947368421054,DAL,18.6,7,2.6571428571428575,-0.3992481203007521
2021.0,Eastern Conf First Round,Brooklyn Nets,Boston Celtics,BRK,BOS,BRK,35.3,12,2.9416666666666664,BOS,30.599999999999998,5,6.119999999999999,-3.178333333333333
2021.0,Western Conf First Round,Denver Nuggets,Portland Trail Blazers,DEN,POR,DEN,54.1,10,5.41,POR,29.5,6,4.916666666666667,0.4933333333333332
2021.0,Eastern Conf First Round,Philadelphia 76ers,Washington Wizards,PHI,WAS,PHI,36.3,12,3.025,WAS,32.3,5,6.459999999999999,-3.434999999999999
2021.0,Western Conf First Round,Utah Jazz,Memphis Grizzlies,UTA,MEM,UTA,29.6,11,2.690909090909091,MEM,22.9,5,4.58,-1.8890909090909092
2021.0,Eastern Conf First Round,Atlanta Hawks,New York Knicks,ATL,NYK,ATL,41.8,18,2.322222222222222,NYK,32.8,5,6.56,-4.237777777777778
2021.0,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,PHO,LAL,PHO,36.1,22,1.6409090909090909,LAL,38.9,6,6.483333333333333,-4.842424242424243
2021.0,Eastern Conf Semifinals,Milwaukee Bucks,Brooklyn Nets,MIL,BRK,MIL,33.4,23,1.452173913043478,BRK,35.3,12,2.9416666666666664,-1.4894927536231883
2021.0,Eastern Conf Semifinals,Atlanta Hawks,Philadelphia 76ers,ATL,PHI,ATL,41.8,18,2.322222222222222,PHI,36.3,12,3.025,-0.702777777777778
2021.0,Western Conf Semifinals,Phoenix Suns,Denver Nuggets,PHO,DEN,PHO,36.1,22,1.6409090909090909,DEN,54.1,10,5.41,-3.7690909090909095
2021.0,Western Conf Semifinals,Los Angeles Clippers,Utah Jazz,LAC,UTA,LAC,42.9,19,2.2578947368421054,UTA,29.6,11,2.690909090909091,-0.4330143540669855
2021.0,Western Conf Finals,Phoenix Suns,Los Angeles Clippers,PHO,LAC,PHO,36.1,22,1.6409090909090909,LAC,42.9,19,2.2578947368421054,-0.6169856459330145
2021.0,Eastern Conf Finals,Milwaukee Bucks,Atlanta Hawks,MIL,ATL,MIL,33.4,23,1.452173913043478,ATL,41.8,18,2.322222222222222,-0.8700483091787439
2021.0,Finals,Milwaukee Bucks,Phoenix Suns,MIL,PHO,MIL,33.4,23,1.452173913043478,PHO,36.1,22,1.6409090909090909,-0.18873517786561278
2020.0,Eastern Conf First Round,Milwaukee Bucks,Orlando Magic,MIL,ORL,MIL,36.8,10,3.6799999999999997,ORL,44.599999999999994,5,8.919999999999998,-5.239999999999998
2020.0,Eastern Conf First Round,Toronto Raptors,Brooklyn Nets,TOR,BRK,TOR,50.7,11,4.609090909090909,BRK,29.9,4,7.475,-2.8659090909090903
2020.0,Eastern Conf First Round,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,34.2,17,2.011764705882353,PHI,18.6,4,4.65,-2.6382352941176475
2020.0,Eastern Conf First Round,Miami Heat,Indiana Pacers,MIA,IND,MIA,36.7,21,1.7476190476190478,IND,11.8,4,2.95,-1.2023809523809523
2020.0,Western Conf First Round,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,LAL,50.3,21,2.395238095238095,POR,27.7,5,5.54,-3.144761904761905
2020.0,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,LAC,46.6,13,3.5846153846153848,DAL,34.2,6,5.7,-2.1153846153846154
2020.0,Western Conf First Round,Denver Nuggets,Utah Jazz,DEN,UTA,DEN,38.7,19,2.0368421052631582,UTA,38.7,7,5.528571428571429,-3.491729323308271
2020.0,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,HOU,OKC,HOU,38.1,12,3.1750000000000003,OKC,35.5,7,5.071428571428571,-1.896428571428571
2020.0,Eastern Conf Semifinals,Boston Celtics,Toronto Raptors,BOS,TOR,BOS,34.2,17,2.011764705882353,TOR,50.7,11,4.609090909090909,-2.5973262032085564
2020.0,Eastern Conf Semifinals,Miami Heat,Milwaukee Bucks,MIA,MIL,MIA,36.7,21,1.7476190476190478,MIL,36.8,10,3.6799999999999997,-1.9323809523809519
2020.0,Western Conf Semifinals,Denver Nuggets,Los Angeles Clippers,DEN,LAC,DEN,38.7,19,2.0368421052631582,LAC,46.6,13,3.5846153846153848,-1.5477732793522265
2020.0,Western Conf Semifinals,Los Angeles Lakers,Houston Rockets,LAL,HOU,LAL,50.3,21,2.395238095238095,HOU,38.1,12,3.1750000000000003,-0.7797619047619051
2020.0,Eastern Conf Finals,Miami Heat,Boston Celtics,MIA,BOS,MIA,36.7,21,1.7476190476190478,BOS,34.2,17,2.011764705882353,-0.26414565826330505
2020.0,Western Conf Finals,Los Angeles Lakers,Denver Nuggets,LAL,DEN,LAL,50.3,21,2.395238095238095,DEN,38.7,19,2.0368421052631582,0.35839598997493693
2020.0,Finals,Los Angeles Lakers,Miami Heat,LAL,MIA,LAL,50.3,21,2.395238095238095,MIA,36.7,21,1.7476190476190478,0.6476190476190473
2019.0,Eastern Conf First Round,Milwaukee Bucks,Detroit Pistons,MIL,DET,MIL,46.5,15,3.1,DET,27.3,4,6.825,-3.725
2019.0,Eastern Conf First Round,Toronto Raptors,Orlando Magic,TOR,ORL,TOR,30.7,24,1.2791666666666666,ORL,36.5,5,7.3,-6.020833333333333
2019.0,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,PHI,BRK,PHI,37.6,12,3.1333333333333333,BRK,68.6,5,13.719999999999999,-10.586666666666666
2019.0,Eastern Conf First Round,Boston Celtics,Indiana Pacers,BOS,IND,BOS,42.9,9,4.766666666666667,IND,37.0,4,9.25,-4.483333333333333
2019.0,Western Conf First Round,Golden State Warriors,Los Angeles Clippers,GSW,LAC,GSW,27.3,22,1.240909090909091,LAC,53.0,6,8.833333333333334,-7.592424242424243
2019.0,Western Conf First Round,Denver Nuggets,San Antonio Spurs,DEN,SAS,DEN,27.799999999999997,14,1.9857142857142855,SAS,30.3,7,4.328571428571428,-2.3428571428571425
2019.0,Western Conf First Round,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,POR,35.0,16,2.1875,OKC,26.0,5,5.2,-3.0125
2019.0,Western Conf First Round,Houston Rockets,Utah Jazz,HOU,UTA,HOU,29.3,11,2.6636363636363636,UTA,35.8,5,7.159999999999999,-4.496363636363636
2019.0,Eastern Conf Semifinals,Milwaukee Bucks,Boston Celtics,MIL,BOS,MIL,46.5,15,3.1,BOS,42.9,9,4.766666666666667,-1.6666666666666665
2019.0,Eastern Conf Semifinals,Toronto Raptors,Philadelphia 76ers,TOR,PHI,TOR,30.7,24,1.2791666666666666,PHI,37.6,12,3.1333333333333333,-1.8541666666666667
2019.0,Western Conf Semifinals,Golden State Warriors,Houston Rockets,GSW,HOU,GSW,27.3,22,1.240909090909091,HOU,29.3,11,2.6636363636363636,-1.4227272727272726
2019.0,Western Conf Semifinals,Portland Trail Blazers,Denver Nuggets,POR,DEN,POR,35.0,16,2.1875,DEN,27.799999999999997,14,1.9857142857142855,0.20178571428571446
2019.0,Eastern Conf Finals,Toronto Raptors,Milwaukee Bucks,TOR,MIL,TOR,30.7,24,1.2791666666666666,MIL,46.5,15,3.1,-1.8208333333333335
2019.0,Western Conf Finals,Golden State Warriors,Portland Trail Blazers,GSW,POR,GSW,27.3,22,1.240909090909091,POR,35.0,16,2.1875,-0.946590909090909
2019.0,Finals,Toronto Raptors,Golden State Warriors,TOR,GSW,TOR,30.7,24,1.2791666666666666,GSW,27.3,22,1.240909090909091,0.0382575757575756
2018.0,Eastern Conf First Round,Toronto Raptors,Washington Wizards,TOR,WAS,TOR,41.5,10,4.15,WAS,32.1,6,5.3500000000000005,-1.2000000000000002
2018.0,Eastern Conf First Round,Boston Celtics,Milwaukee Bucks,BOS,MIL,BOS,34.0,19,1.7894736842105263,MIL,34.4,7,4.914285714285714,-3.124812030075187
2018.0,Eastern Conf First Round,Philadelphia 76ers,Miami Heat,PHI,MIA,PHI,36.8,10,3.6799999999999997,MIA,50.900000000000006,5,10.180000000000001,-6.500000000000002
2018.0,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,CLE,IND,CLE,27.0,22,1.2272727272727273,IND,31.1,7,4.442857142857143,-3.2155844155844155
2018.0,Western Conf First Round,Houston Rockets,Minnesota Timberwolves,HOU,MIN,HOU,32.2,17,1.8941176470588237,MIN,37.0,5,7.4,-5.5058823529411764
2018.0,Western Conf First Round,Golden State Warriors,San Antonio Spurs,GSW,SAS,GSW,28.0,21,1.3333333333333333,SAS,39.0,5,7.8,-6.466666666666667
2018.0,Western Conf First Round,New Orleans Pelicans,Portland Trail Blazers,NOP,POR,NOP,27.5,9,3.0555555555555554,POR,33.3,4,8.325,-5.269444444444444
2018.0,Western Conf First Round,Utah Jazz,Oklahoma City Thunder,UTA,OKC,UTA,39.1,11,3.5545454545454547,OKC,19.5,6,3.25,0.3045454545454547
2018.0,Western Conf Semifinals,Golden State Warriors,New Orleans Pelicans,GSW,NOP,GSW,28.0,21,1.3333333333333333,NOP,27.5,9,3.0555555555555554,-1.722222222222222
2018.0,Western Conf Semifinals,Houston Rockets,Utah Jazz,HOU,UTA,HOU,32.2,17,1.8941176470588237,UTA,39.1,11,3.5545454545454547,-1.660427807486631
2018.0,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,34.0,19,1.7894736842105263,PHI,36.8,10,3.6799999999999997,-1.8905263157894734
2018.0,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,CLE,27.0,22,1.2272727272727273,TOR,41.5,10,4.15,-2.922727272727273
2018.0,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,CLE,BOS,CLE,27.0,22,1.2272727272727273,BOS,34.0,19,1.7894736842105263,-0.562200956937799
2018.0,Western Conf Finals,Golden State Warriors,Houston Rockets,GSW,HOU,GSW,28.0,21,1.3333333333333333,HOU,32.2,17,1.8941176470588237,-0.5607843137254904
2018.0,Finals,Golden State Warriors,Cleveland Cavaliers,GSW,CLE,GSW,28.0,21,1.3333333333333333,CLE,27.0,22,1.2272727272727273,0.10606060606060597
2017.0,Eastern Conf First Round,Boston Celtics,Chicago Bulls,BOS,CHI,BOS,38.4,18,2.1333333333333333,CHI,36.2,6,6.033333333333334,-3.900000000000001
2017.0,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,CLE,IND,CLE,30.2,18,1.6777777777777778,IND,33.3,4,8.325,-6.647222222222221
2017.0,Eastern Conf First Round,Toronto Raptors,Milwaukee Bucks,TOR,MIL,TOR,23.8,10,2.38,MIL,33.9,6,5.6499999999999995,-3.2699999999999996
2017.0,Eastern Conf First Round,Washington Wizards,Atlanta Hawks,WAS,ATL,WAS,26.9,13,2.069230769230769,ATL,31.2,6,5.2,-3.130769230769231
2017.0,Western Conf First Round,Golden State Warriors,Portland Trail Blazers,GSW,POR,GSW,38.1,17,2.2411764705882353,POR,31.8,4,7.95,-5.708823529411765
2017.0,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,SAS,62.3,16,3.89375,MEM,24.8,6,4.133333333333334,-0.23958333333333393
2017.0,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,HOU,OKC,HOU,46.9,11,4.263636363636364,OKC,29.599999999999998,5,5.92,-1.6563636363636363
2017.0,Western Conf First Round,Utah Jazz,Los Angeles Clippers,UTA,LAC,UTA,49.7,11,4.5181818181818185,LAC,30.099999999999998,7,4.3,0.2181818181818187
2017.0,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,CLE,30.2,18,1.6777777777777778,TOR,23.8,10,2.38,-0.7022222222222221
2017.0,Eastern Conf Semifinals,Boston Celtics,Washington Wizards,BOS,WAS,BOS,38.4,18,2.1333333333333333,WAS,26.9,13,2.069230769230769,0.06410256410256432
2017.0,Western Conf Semifinals,Golden State Warriors,Utah Jazz,GSW,UTA,GSW,38.1,17,2.2411764705882353,UTA,49.7,11,4.5181818181818185,-2.277005347593583
2017.0,Western Conf Semifinals,San Antonio Spurs,Houston Rockets,SAS,HOU,SAS,62.3,16,3.89375,HOU,46.9,11,4.263636363636364,-0.36988636363636385
2017.0,Western Conf Finals,Golden State Warriors,San Antonio Spurs,GSW,SAS,GSW,38.1,17,2.2411764705882353,SAS,62.3,16,3.89375,-1.6525735294117645
2017.0,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,CLE,BOS,CLE,30.2,18,1.6777777777777778,BOS,38.4,18,2.1333333333333333,-0.4555555555555555
2017.0,Finals,Golden State Warriors,Cleveland Cavaliers,GSW,CLE,GSW,38.1,17,2.2411764705882353,CLE,30.2,18,1.6777777777777778,0.5633986928104575
2016.0,Eastern Conf First Round,Cleveland Cavaliers,Detroit Pistons,CLE,DET,CLE,28.1,21,1.3380952380952382,DET,22.8,4,5.7,-4.361904761904762
2016.0,Eastern Conf First Round,Toronto Raptors,Indiana Pacers,TOR,IND,TOR,32.9,20,1.645,IND,23.8,7,3.4,-1.755
2016.0,Eastern Conf First Round,Miami Heat,Charlotte Hornets,MIA,CHO,MIA,33.6,14,2.4,CHO,40.0,7,5.714285714285714,-3.3142857142857145
2016.0,Eastern Conf First Round,Atlanta Hawks,Boston Celtics,ATL,BOS,ATL,40.6,10,4.0600000000000005,BOS,32.2,6,5.366666666666667,-1.3066666666666666
2016.0,Western Conf First Round,Golden State Warriors,Houston Rockets,GSW,HOU,GSW,39.8,24,1.6583333333333332,HOU,34.2,5,6.840000000000001,-5.1816666666666675
2016.0,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,SAS,39.9,10,3.9899999999999998,MEM,31.6,4,7.9,-3.9100000000000006
2016.0,Western Conf First Round,Oklahoma City Thunder,Dallas Mavericks,OKC,DAL,OKC,28.9,18,1.6055555555555554,DAL,38.3,5,7.659999999999999,-6.054444444444444
2016.0,Western Conf First Round,Portland Trail Blazers,Los Angeles Clippers,POR,LAC,POR,28.8,11,2.618181818181818,LAC,47.0,6,7.833333333333333,-5.215151515151515
2016.0,Eastern Conf Semifinals,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,CLE,28.1,21,1.3380952380952382,ATL,40.6,10,4.0600000000000005,-2.7219047619047623
2016.0,Eastern Conf Semifinals,Toronto Raptors,Miami Heat,TOR,MIA,TOR,32.9,20,1.645,MIA,33.6,14,2.4,-0.7549999999999999
2016.0,Western Conf Semifinals,Golden State Warriors,Portland Trail Blazers,GSW,POR,GSW,39.8,24,1.6583333333333332,POR,28.8,11,2.618181818181818,-0.959848484848485
2016.0,Western Conf Semifinals,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,OKC,28.9,18,1.6055555555555554,SAS,39.9,10,3.9899999999999998,-2.384444444444444
2016.0,Eastern Conf Finals,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,CLE,28.1,21,1.3380952380952382,TOR,32.9,20,1.645,-0.3069047619047618
2016.0,Western Conf Finals,Golden State Warriors,Oklahoma City Thunder,GSW,OKC,GSW,39.8,24,1.6583333333333332,OKC,28.9,18,1.6055555555555554,0.05277777777777781
2016.0,Finals,Cleveland Cavaliers,Golden State Warriors,CLE,GSW,CLE,28.1,21,1.3380952380952382,GSW,39.8,24,1.6583333333333332,-0.320238095238095
2015.0,Eastern Conf First Round,Atlanta Hawks,Brooklyn Nets,ATL,BRK,ATL,34.0,16,2.125,BRK,28.3,6,4.716666666666667,-2.591666666666667
2015.0,Eastern Conf First Round,Cleveland Cavaliers,Boston Celtics,CLE,BOS,CLE,28.3,20,1.415,BOS,49.2,4,12.3,-10.885000000000002
2015.0,Eastern Conf First Round,Chicago Bulls,Milwaukee Bucks,CHI,MIL,CHI,28.8,12,2.4,MIL,47.0,6,7.833333333333333,-5.433333333333334
2015.0,Eastern Conf First Round,Washington Wizards,Toronto Raptors,WAS,TOR,WAS,41.9,10,4.1899999999999995,TOR,37.6,4,9.4,-5.210000000000001
2015.0,Western Conf First Round,Golden State Warriors,New Orleans Pelicans,GSW,NOP,GSW,33.1,21,1.5761904761904764,NOP,33.9,4,8.475,-6.898809523809524
2015.0,Western Conf First Round,Houston Rockets,Dallas Mavericks,HOU,DAL,HOU,33.1,17,1.947058823529412,DAL,46.5,5,9.3,-7.352941176470589
2015.0,Western Conf First Round,Los Angeles Clippers,San Antonio Spurs,LAC,SAS,LAC,30.7,14,2.1928571428571426,SAS,45.0,7,6.428571428571429,-4.235714285714286
2015.0,Western Conf First Round,Memphis Grizzlies,Portland Trail Blazers,MEM,POR,MEM,33.1,11,3.0090909090909093,POR,29.2,5,5.84,-2.8309090909090906
2015.0,Eastern Conf Semifinals,Cleveland Cavaliers,Chicago Bulls,CLE,CHI,CLE,28.3,20,1.415,CHI,28.8,12,2.4,-0.9849999999999999
2015.0,Eastern Conf Semifinals,Atlanta Hawks,Washington Wizards,ATL,WAS,ATL,34.0,16,2.125,WAS,41.9,10,4.1899999999999995,-2.0649999999999995
2015.0,Western Conf Semifinals,Houston Rockets,Los Angeles Clippers,HOU,LAC,HOU,33.1,17,1.947058823529412,LAC,30.7,14,2.1928571428571426,-0.24579831932773066
2015.0,Western Conf Semifinals,Golden State Warriors,Memphis Grizzlies,GSW,MEM,GSW,33.1,21,1.5761904761904764,MEM,33.1,11,3.0090909090909093,-1.432900432900433
2015.0,Eastern Conf Finals,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,CLE,28.3,20,1.415,ATL,34.0,16,2.125,-0.71
2015.0,Western Conf Finals,Golden State Warriors,Houston Rockets,GSW,HOU,GSW,33.1,21,1.5761904761904764,HOU,33.1,17,1.947058823529412,-0.3708683473389356
2015.0,Finals,Golden State Warriors,Cleveland Cavaliers,GSW,CLE,GSW,33.1,21,1.5761904761904764,CLE,28.3,20,1.415,0.16119047619047633
2014.0,Eastern Conf First Round,Indiana Pacers,Atlanta Hawks,IND,ATL,IND,24.4,19,1.2842105263157895,ATL,30.7,7,4.385714285714285,-3.1015037593984958
2014.0,Eastern Conf First Round,Miami Heat,Charlotte Bobcats,MIA,CHA,MIA,36.4,20,1.8199999999999998,CHA,29.5,4,7.375,-5.555
2014.0,Eastern Conf First Round,Brooklyn Nets,Toronto Raptors,BRK,TOR,BRK,32.2,12,2.6833333333333336,TOR,26.2,7,3.742857142857143,-1.0595238095238093
2014.0,Eastern Conf First Round,Washington Wizards,Chicago Bulls,WAS,CHI,WAS,18.1,11,1.6454545454545455,CHI,32.199999999999996,5,6.4399999999999995,-4.794545454545454
2014.0,Western Conf First Round,San Antonio Spurs,Dallas Mavericks,SAS,DAL,SAS,43.5,23,1.891304347826087,DAL,42.9,7,6.128571428571428,-4.237267080745341
2014.0,Western Conf First Round,Oklahoma City Thunder,Memphis Grizzlies,OKC,MEM,OKC,32.1,19,1.6894736842105265,MEM,40.8,7,5.828571428571428,-4.139097744360901
2014.0,Western Conf First Round,Los Angeles Clippers,Golden State Warriors,LAC,GSW,LAC,37.5,13,2.8846153846153846,GSW,29.3,7,4.185714285714286,-1.3010989010989014
2014.0,Western Conf First Round,Portland Trail Blazers,Houston Rockets,POR,HOU,POR,21.1,11,1.9181818181818182,HOU,30.3,6,5.05,-3.131818181818182
