Year,Round,Winner,Loser
2022.0,Western Conf First Round,Dallas Mavericks (4),Utah Jazz (5)
2022.0,Eastern Conf First Round,Philadelphia 76ers (4),Toronto Raptors (5)
2022.0,Western Conf First Round,Phoenix Suns (1),New Orleans Pelicans (8)
2022.0,Eastern Conf First Round,Miami Heat (1),Atlanta Hawks (8)
2022.0,Eastern Conf Semifinals,Boston Celtics (2),Milwaukee Bucks (3)
2022.0,Eastern Conf Semifinals,Miami Heat (1),Philadelphia 76ers (4)
2022.0,Western Conf Semifinals,Dallas Mavericks (4),Phoenix Suns (1)
2022.0,Western Conf Semifinals,Golden State Warriors (3),Memphis Grizzlies (2)
2022.0,Western Conf Finals,Golden State Warriors (3),Dallas Mavericks (4)
2022.0,Eastern Conf Finals,Boston Celtics (2),Miami Heat (1)
2022.0,Finals,Golden State Warriors (3),Boston Celtics (2)
2021.0,Eastern Conf First Round,Milwaukee Bucks (3),Miami Heat (6)
2021.0,Western Conf First Round,Los Angeles Clippers (4),Dallas Mavericks (5)
2021.0,Eastern Conf First Round,Brooklyn Nets (2),Boston Celtics (7)
2021.0,Western Conf First Round,Denver Nuggets (3),Portland Trail Blazers (6)
2021.0,Eastern Conf First Round,Philadelphia 76ers (1),Washington Wizards (8)
2021.0,Western Conf First Round,Utah Jazz (1),Memphis Grizzlies (8)
2021.0,Eastern Conf First Round,Atlanta Hawks (5),New York Knicks (4)
2021.0,Western Conf First Round,Phoenix Suns (2),Los Angeles Lakers (7)
2021.0,Eastern Conf Semifinals,Milwaukee Bucks (3),Brooklyn Nets (2)
2021.0,Eastern Conf Semifinals,Atlanta Hawks (5),Philadelphia 76ers (1)
2021.0,Western Conf Semifinals,Phoenix Suns (2),Denver Nuggets (3)
2021.0,Western Conf Semifinals,Los Angeles Clippers (4),Utah Jazz (1)
2021.0,Western Conf Finals,Phoenix Suns (2),Los Angeles Clippers (4)
2021.0,Eastern Conf Finals,Milwaukee Bucks (3),Atlanta Hawks (5)
2021.0,Finals,Milwaukee Bucks (3),Phoenix Suns (2)
2020.0,Eastern Conf First Round,Milwaukee Bucks (1),Orlando Magic (8)
2020.0,Eastern Conf First Round,Toronto Raptors (2),Brooklyn Nets (7)
2020.0,Eastern Conf First Round,Boston Celtics (3),Philadelphia 76ers (6)
2020.0,Eastern Conf First Round,Miami Heat (5),Indiana Pacers (4)
2020.0,Western Conf First Round,Los Angeles Lakers (1),Portland Trail Blazers (8)
2020.0,Western Conf First Round,Los Angeles Clippers (2),Dallas Mavericks (7)
2020.0,Western Conf First Round,Denver Nuggets (3),Utah Jazz (6)
2020.0,Western Conf First Round,Houston Rockets (4),Oklahoma City Thunder (5)
2020.0,Eastern Conf Semifinals,Boston Celtics (3),Toronto Raptors (2)
2020.0,Eastern Conf Semifinals,Miami Heat (5),Milwaukee Bucks (1)
2020.0,Western Conf Semifinals,Denver Nuggets (3),Los Angeles Clippers (2)
2020.0,Western Conf Semifinals,Los Angeles Lakers (1),Houston Rockets (4)
2020.0,Eastern Conf Finals,Miami Heat (5),Boston Celtics (3)
2020.0,Western Conf Finals,Los Angeles Lakers (1),Denver Nuggets (3)
2020.0,Finals,Los Angeles Lakers (1),Miami Heat (5)
2019.0,Eastern Conf First Round,Milwaukee Bucks (1),Detroit Pistons (8)
2019.0,Eastern Conf First Round,Toronto Raptors (2),Orlando Magic (7)
2019.0,Eastern Conf First Round,Philadelphia 76ers (3),Brooklyn Nets (6)
2019.0,Eastern Conf First Round,Boston Celtics (4),Indiana Pacers (5)
2019.0,Western Conf First Round,Golden State Warriors (1),Los Angeles Clippers (8)
2019.0,Western Conf First Round,Denver Nuggets (2),San Antonio Spurs (7)
2019.0,Western Conf First Round,Portland Trail Blazers (3),Oklahoma City Thunder (6)
2019.0,Western Conf First Round,Houston Rockets (4),Utah Jazz (5)
2019.0,Eastern Conf Semifinals,Milwaukee Bucks (1),Boston Celtics (4)
2019.0,Eastern Conf Semifinals,Toronto Raptors (2),Philadelphia 76ers (3)
2019.0,Western Conf Semifinals,Golden State Warriors (1),Houston Rockets (4)
2019.0,Western Conf Semifinals,Portland Trail Blazers (3),Denver Nuggets (2)
2019.0,Eastern Conf Finals,Toronto Raptors (2),Milwaukee Bucks (1)
2019.0,Western Conf Finals,Golden State Warriors (1),Portland Trail Blazers (3)
2019.0,Finals,Toronto Raptors (2),Golden State Warriors (1)
2018.0,Eastern Conf First Round,Toronto Raptors (1),Washington Wizards (8)
2018.0,Eastern Conf First Round,Boston Celtics (2),Milwaukee Bucks (7)
2018.0,Eastern Conf First Round,Philadelphia 76ers (3),Miami Heat (6)
2018.0,Eastern Conf First Round,Cleveland Cavaliers (4),Indiana Pacers (5)
2018.0,Western Conf First Round,Houston Rockets (1),Minnesota Timberwolves (8)
2018.0,Western Conf First Round,Golden State Warriors (2),San Antonio Spurs (7)
2018.0,Western Conf First Round,New Orleans Pelicans (6),Portland Trail Blazers (3)
2018.0,Western Conf First Round,Utah Jazz (5),Oklahoma City Thunder (4)
2018.0,Western Conf Semifinals,Golden State Warriors (2),New Orleans Pelicans (6)
2018.0,Western Conf Semifinals,Houston Rockets (1),Utah Jazz (5)
2018.0,Eastern Conf Semifinals,Boston Celtics (2),Philadelphia 76ers (3)
2018.0,Eastern Conf Semifinals,Cleveland Cavaliers (4),Toronto Raptors (1)
2018.0,Eastern Conf Finals,Cleveland Cavaliers (4),Boston Celtics (2)
2018.0,Western Conf Finals,Golden State Warriors (2),Houston Rockets (1)
2018.0,Finals,Golden State Warriors (2),Cleveland Cavaliers (4)
2017.0,Eastern Conf First Round,Boston Celtics (1),Chicago Bulls (8)
2017.0,Eastern Conf First Round,Cleveland Cavaliers (2),Indiana Pacers (7)
2017.0,Eastern Conf First Round,Toronto Raptors (3),Milwaukee Bucks (6)
2017.0,Eastern Conf First Round,Washington Wizards (4),Atlanta Hawks (5)
2017.0,Western Conf First Round,Golden State Warriors (1),Portland Trail Blazers (8)
2017.0,Western Conf First Round,San Antonio Spurs (2),Memphis Grizzlies (7)
2017.0,Western Conf First Round,Houston Rockets (3),Oklahoma City Thunder (6)
2017.0,Western Conf First Round,Utah Jazz (5),Los Angeles Clippers (4)
2017.0,Eastern Conf Semifinals,Cleveland Cavaliers (2),Toronto Raptors (3)
2017.0,Eastern Conf Semifinals,Boston Celtics (1),Washington Wizards (4)
2017.0,Western Conf Semifinals,Golden State Warriors (1),Utah Jazz (5)
2017.0,Western Conf Semifinals,San Antonio Spurs (2),Houston Rockets (3)
2017.0,Western Conf Finals,Golden State Warriors (1),San Antonio Spurs (2)
2017.0,Eastern Conf Finals,Cleveland Cavaliers (2),Boston Celtics (1)
2017.0,Finals,Golden State Warriors (1),Cleveland Cavaliers (2)
2016.0,Eastern Conf First Round,Cleveland Cavaliers (1),Detroit Pistons (8)
2016.0,Eastern Conf First Round,Toronto Raptors (2),Indiana Pacers (7)
2016.0,Eastern Conf First Round,Miami Heat (3),Charlotte Hornets (6)
2016.0,Eastern Conf First Round,Atlanta Hawks (4),Boston Celtics (5)
2016.0,Western Conf First Round,Golden State Warriors (1),Houston Rockets (8)
2016.0,Western Conf First Round,San Antonio Spurs (2),Memphis Grizzlies (7)
2016.0,Western Conf First Round,Oklahoma City Thunder (3),Dallas Mavericks (6)
2016.0,Western Conf First Round,Portland Trail Blazers (5),Los Angeles Clippers (4)
2016.0,Eastern Conf Semifinals,Cleveland Cavaliers (1),Atlanta Hawks (4)
2016.0,Eastern Conf Semifinals,Toronto Raptors (2),Miami Heat (3)
2016.0,Western Conf Semifinals,Golden State Warriors (1),Portland Trail Blazers (5)
2016.0,Western Conf Semifinals,Oklahoma City Thunder (3),San Antonio Spurs (2)
2016.0,Eastern Conf Finals,Cleveland Cavaliers (1),Toronto Raptors (2)
2016.0,Western Conf Finals,Golden State Warriors (1),Oklahoma City Thunder (3)
2016.0,Finals,Cleveland Cavaliers (1),Golden State Warriors (1)
2015.0,Eastern Conf First Round,Atlanta Hawks (1),Brooklyn Nets (8)
2015.0,Eastern Conf First Round,Cleveland Cavaliers (2),Boston Celtics (7)
2015.0,Eastern Conf First Round,Chicago Bulls (3),Milwaukee Bucks (6)
2015.0,Eastern Conf First Round,Washington Wizards (5),Toronto Raptors (4)
2015.0,Western Conf First Round,Golden State Warriors (1),New Orleans Pelicans (8)
2015.0,Western Conf First Round,Houston Rockets (2),Dallas Mavericks (7)
2015.0,Western Conf First Round,Los Angeles Clippers (3),San Antonio Spurs (6)
2015.0,Western Conf First Round,Memphis Grizzlies (5),Portland Trail Blazers (4)
2015.0,Eastern Conf Semifinals,Cleveland Cavaliers (2),Chicago Bulls (3)
2015.0,Eastern Conf Semifinals,Atlanta Hawks (1),Washington Wizards (5)
2015.0,Western Conf Semifinals,Houston Rockets (2),Los Angeles Clippers (3)
2015.0,Western Conf Semifinals,Golden State Warriors (1),Memphis Grizzlies (5)
2015.0,Eastern Conf Finals,Cleveland Cavaliers (2),Atlanta Hawks (1)
2015.0,Western Conf Finals,Golden State Warriors (1),Houston Rockets (2)
2015.0,Finals,Golden State Warriors (1),Cleveland Cavaliers (2)
2014.0,Eastern Conf First Round,Indiana Pacers (1),Atlanta Hawks (8)
2014.0,Eastern Conf First Round,Miami Heat (2),Charlotte Bobcats (7)
2014.0,Eastern Conf First Round,Brooklyn Nets (6),Toronto Raptors (3)
2014.0,Eastern Conf First Round,Washington Wizards (5),Chicago Bulls (4)
2014.0,Western Conf First Round,San Antonio Spurs (1),Dallas Mavericks (8)
2014.0,Western Conf First Round,Oklahoma City Thunder (2),Memphis Grizzlies (7)
2014.0,Western Conf First Round,Los Angeles Clippers (3),Golden State Warriors (6)
2014.0,Western Conf First Round,Portland Trail Blazers (5),Houston Rockets (4)
2014.0,Eastern Conf Semifinals,Indiana Pacers (1),Washington Wizards (5)
2014.0,Eastern Conf Semifinals,Miami Heat (2),Brooklyn Nets (6)
2014.0,Western Conf Semifinals,San Antonio Spurs (1),Portland Trail Blazers (5)
2014.0,Western Conf Semifinals,Oklahoma City Thunder (2),Los Angeles Clippers (3)
2014.0,Eastern Conf Finals,Miami Heat (2),Indiana Pacers (1)
2014.0,Western Conf Finals,San Antonio Spurs (1),Oklahoma City Thunder (2)
2014.0,Finals,San Antonio Spurs (1),Miami Heat (2)
2013.0,Eastern Conf First Round,Miami Heat (1),Milwaukee Bucks (8)
2013.0,Eastern Conf First Round,New York Knicks (2),Boston Celtics (7)
2013.0,Eastern Conf First Round,Indiana Pacers (3),Atlanta Hawks (6)
2013.0,Eastern Conf First Round,Chicago Bulls (5),Brooklyn Nets (4)
2013.0,Western Conf First Round,Oklahoma City Thunder (1),Houston Rockets (8)
2013.0,Western Conf First Round,San Antonio Spurs (2),Los Angeles Lakers (7)
2013.0,Western Conf First Round,Golden State Warriors (6),Denver Nuggets (3)
2013.0,Western Conf First Round,Memphis Grizzlies (5),Los Angeles Clippers (4)
2013.0,Eastern Conf Semifinals,Miami Heat (1),Chicago Bulls (5)
2013.0,Eastern Conf Semifinals,Indiana Pacers (3),New York Knicks (2)
2013.0,Western Conf Semifinals,Memphis Grizzlies (5),Oklahoma City Thunder (1)
2013.0,Western Conf Semifinals,San Antonio Spurs (2),Golden State Warriors (6)
2013.0,Eastern Conf Finals,Miami Heat (1),Indiana Pacers (3)
2013.0,Western Conf Finals,San Antonio Spurs (2),Memphis Grizzlies (5)
2013.0,Finals,Miami Heat (1),San Antonio Spurs (2)
2012.0,Eastern Conf First Round,Philadelphia 76ers (8),Chicago Bulls (1)
2012.0,Eastern Conf First Round,Miami Heat (2),New York Knicks (7)
2012.0,Eastern Conf First Round,Indiana Pacers (3),Orlando Magic (6)
2012.0,Eastern Conf First Round,Boston Celtics (4),Atlanta Hawks (5)
2012.0,Western Conf First Round,San Antonio Spurs (1),Utah Jazz (8)
2012.0,Western Conf First Round,Oklahoma City Thunder (2),Dallas Mavericks (7)
2012.0,Western Conf First Round,Los Angeles Lakers (3),Denver Nuggets (6)
2012.0,Western Conf First Round,Los Angeles Clippers (5),Memphis Grizzlies (4)
2012.0,Eastern Conf Semifinals,Miami Heat (2),Indiana Pacers (3)
2012.0,Eastern Conf Semifinals,Boston Celtics (4),Philadelphia 76ers (8)
2012.0,Western Conf Semifinals,San Antonio Spurs (1),Los Angeles Clippers (5)
2012.0,Western Conf Semifinals,Oklahoma City Thunder (2),Los Angeles Lakers (3)
2012.0,Western Conf Finals,Oklahoma City Thunder (2),San Antonio Spurs (1)
2012.0,Eastern Conf Finals,Miami Heat (2),Boston Celtics (4)
2012.0,Finals,Miami Heat (2),Oklahoma City Thunder (2)
2011.0,Eastern Conf First Round,Chicago Bulls (1),Indiana Pacers (8)
2011.0,Eastern Conf First Round,Miami Heat (2),Philadelphia 76ers (7)
2011.0,Eastern Conf First Round,Boston Celtics (3),New York Knicks (6)
2011.0,Eastern Conf First Round,Atlanta Hawks (5),Orlando Magic (4)
2011.0,Western Conf First Round,Memphis Grizzlies (8),San Antonio Spurs (1)
2011.0,Western Conf First Round,Los Angeles Lakers (2),New Orleans Hornets (7)
2011.0,Western Conf First Round,Dallas Mavericks (3),Portland Trail Blazers (6)
2011.0,Western Conf First Round,Oklahoma City Thunder (4),Denver Nuggets (5)
2011.0,Eastern Conf Semifinals,Chicago Bulls (1),Atlanta Hawks (5)
2011.0,Eastern Conf Semifinals,Miami Heat (2),Boston Celtics (3)
2011.0,Western Conf Semifinals,Dallas Mavericks (3),Los Angeles Lakers (2)
2011.0,Western Conf Semifinals,Oklahoma City Thunder (4),Memphis Grizzlies (8)
2011.0,Eastern Conf Finals,Miami Heat (2),Chicago Bulls (1)
2011.0,Western Conf Finals,Dallas Mavericks (3),Oklahoma City Thunder (4)
2011.0,Finals,Dallas Mavericks (3),Miami Heat (2)
2010.0,Eastern Conf First Round,Cleveland Cavaliers (1),Chicago Bulls (8)
2010.0,Eastern Conf First Round,Orlando Magic (2),Charlotte Bobcats (7)
2010.0,Eastern Conf First Round,Atlanta Hawks (3),Milwaukee Bucks (6)
2010.0,Eastern Conf First Round,Boston Celtics (4),Miami Heat (5)
2010.0,Western Conf First Round,Los Angeles Lakers (1),Oklahoma City Thunder (8)
2010.0,Western Conf First Round,San Antonio Spurs (7),Dallas Mavericks (2)
2010.0,Western Conf First Round,Phoenix Suns (3),Portland Trail Blazers (6)
2010.0,Western Conf First Round,Utah Jazz (5),Denver Nuggets (4)
2010.0,Eastern Conf Semifinals,Boston Celtics (4),Cleveland Cavaliers (1)
2010.0,Eastern Conf Semifinals,Orlando Magic (2),Atlanta Hawks (3)
2010.0,Western Conf Semifinals,Los Angeles Lakers (1),Utah Jazz (5)
2010.0,Western Conf Semifinals,Phoenix Suns (3),San Antonio Spurs (7)
2010.0,Western Conf Finals,Los Angeles Lakers (1),Phoenix Suns (3)
2010.0,Eastern Conf Finals,Boston Celtics (4),Orlando Magic (2)
2010.0,Finals,Los Angeles Lakers (1),Boston Celtics (4)
