Player,Tm,Year,G,MP,PER,BPM,VORP
Michael Finley,BOS,2010,18,108,5.2,-2.4,0.0
Derek Fisher,LAL,2010,23,754,10.8,-0.7,0.2
Channing Frye,PHO,2010,16,435,11.0,0.9,0.3
Dan Gadzuric,MIL,2010,7,76,10.8,-4.6,-0.1
Sundiata Gaines,UTA,2010,5,7,60.5,28.0,0.1
Kevin Garnett*,BOS,2010,23,766,17.6,3.8,1.1
Pau Gasol*,LAL,2010,23,913,24.0,5.9,1.8
Daniel Gibson,CLE,2010,5,23,1.3,-10.9,-0.1
Taj Gibson,CHI,2010,5,145,9.1,-3.8,-0.1
Manu GinÃ³bili*,SAS,2010,10,352,21.4,7.1,0.8
Marcin Gortat,ORL,2010,14,212,14.8,3.0,0.3
Joey Graham,DEN,2010,4,29,32.9,8.7,0.1
Stephen Graham,CHA,2010,2,5,-31.2,-35.3,0.0
Jeff Green,OKC,2010,6,224,8.6,-2.1,0.0
James Harden,OKC,2010,6,120,15.8,4.2,0.2
Udonis Haslem,MIA,2010,5,142,5.2,-5.7,-0.1
Brendan Haywood,DAL,2010,6,139,19.3,4.3,0.2
J.J. Hickson,CLE,2010,11,79,12.4,-2.0,0.0
NenÃª,DEN,2010,5,169,15.3,1.6,0.2
George Hill,SAS,2010,10,344,12.8,0.2,0.2
Grant Hill*,PHO,2010,16,452,14.2,1.5,0.4
Kirk Hinrich,CHI,2010,5,196,13.3,1.1,0.2
Al Horford,ATL,2010,11,388,20.1,3.7,0.6
Dwight Howard*,ORL,2010,14,497,22.2,3.8,0.7
Juwan Howard,POR,2010,6,87,7.9,-5.3,-0.1
Larry Hughes,CHA,2010,4,58,14.1,1.2,0.0
Serge Ibaka,OKC,2010,6,153,15.3,0.9,0.1
Zydrunas Ilgauskas,CLE,2010,7,69,9.7,-1.5,0.0
D.J. Mbenga,LAL,2010,3,12,11.3,-4.2,0.0
Ersan Ä°lyasova,MIL,2010,7,157,19.9,2.1,0.2
Royal Ivey,MIL,2010,3,11,5.2,-3.8,0.0
Stephen Jackson,CHA,2010,4,156,9.8,-3.1,0.0
LeBron James,CLE,2010,11,460,28.6,11.5,1.6
Antawn Jamison,CLE,2010,11,375,14.5,-0.2,0.2
Othyus Jeffers,UTA,2010,6,10,-15.0,-28.4,-0.1
Richard Jefferson,SAS,2010,10,334,10.9,-0.4,0.1
Brandon Jennings,MIL,2010,7,249,17.7,3.5,0.3
Anthony Johnson,ORL,2010,1,5,24.9,11.1,0.0
James Johnson,CHI,2010,4,20,-15.3,-22.6,-0.1
Joe Johnson,ATL,2010,11,440,14.5,-0.1,0.2
Dwayne Jones,PHO,2010,2,10,21.3,1.6,0.0
James Jones,MIA,2010,1,9,-2.0,-13.1,0.0
Jason Kidd*,DAL,2010,6,243,13.5,2.3,0.3
Andrei Kirilenko,UTA,2010,2,30,16.1,0.5,0.0
Kyle Korver,UTA,2010,10,210,12.1,-0.3,0.1
Kosta Koufos,UTA,2010,9,31,7.2,-8.7,-0.1
Nenad KrstiÄ,OKC,2010,6,129,14.5,-0.5,0.1
Ty Lawson,DEN,2010,6,118,12.8,-1.4,0.0
Rashard Lewis,ORL,2010,14,512,14.2,3.5,0.7
Robin Lopez,PHO,2010,6,104,18.3,-2.5,0.0
Jamaal Magloire,MIA,2010,1,5,-28.1,-37.3,0.0
Ian Mahinmi,SAS,2010,2,19,9.1,-2.4,0.0
Shawn Marion,DAL,2010,6,148,7.9,-5.0,-0.1
Kenyon Martin,DEN,2010,6,205,12.0,-1.4,0.0
Roger Mason,SAS,2010,6,61,-7.4,-12.2,-0.2
Wesley Matthews,UTA,2010,10,371,11.8,-0.4,0.2
Eric Maynor,OKC,2010,6,76,8.0,-4.8,-0.1
Luc Mbah a Moute,MIL,2010,7,178,13.9,-1.2,0.0
Antonio McDyess,SAS,2010,10,247,12.8,0.4,0.1
C.J. Miles,UTA,2010,10,337,11.9,-1.0,0.1
Andre Miller,POR,2010,6,210,15.1,-0.7,0.1
Brad Miller,CHI,2010,5,93,4.1,-8.8,-0.2
Patty Mills,POR,2010,3,12,19.3,5.0,0.0
Paul Millsap,UTA,2010,10,323,24.5,5.4,0.6
Nazr Mohammed,CHA,2010,4,48,18.9,1.8,0.0
Jamario Moon,CLE,2010,11,113,17.8,8.6,0.3
Randolph Morris,ATL,2010,3,10,10.6,-6.7,0.0
Adam Morrison,LAL,2010,2,13,21.5,-3.4,0.0
Byron Mullens,OKC,2010,1,4,-13.7,-24.0,0.0
Ronald Murray,CHI,2010,5,97,17.1,3.5,0.1
Eduardo NÃ¡jera,DAL,2010,5,36,3.1,-7.8,-0.1
Steve Nash*,PHO,2010,16,539,22.4,4.6,0.9
Jameer Nelson,ORL,2010,14,479,20.9,5.2,0.9
Joakim Noah,CHI,2010,5,188,20.2,3.7,0.3
Dirk Nowitzki*,DAL,2010,6,233,28.3,10.7,0.8
Jermaine O'Neal,MIA,2010,5,117,2.5,-7.4,-0.2
Shaquille O'Neal*,CLE,2010,11,243,16.2,-0.9,0.1
Lamar Odom,LAL,2010,23,667,15.4,0.6,0.4
Mehmet Okur,UTA,2010,1,11,28.1,7.7,0.0
Kevin Ollie,OKC,2010,1,5,-8.2,-12.5,0.0
Zaza Pachulia,ATL,2010,11,161,12.6,-3.7,-0.1
Jannero Pargo,CHI,2010,2,8,1.6,-4.2,0.0
Anthony Parker,CLE,2010,11,331,9.8,1.5,0.3
Tony Parker*,SAS,2010,10,335,16.7,0.4,0.2
Kendrick Perkins,BOS,2010,23,575,9.5,-2.0,0.0
Johan Petro,DEN,2010,6,45,8.2,-5.2,0.0
Paul Pierce*,BOS,2010,24,930,15.8,3.0,1.2
MickaÃ«l PiÃ©trus,ORL,2010,14,282,15.4,5.7,0.6
Leon Powe,CLE,2010,3,9,3.5,-20.9,0.0
Josh Powell,LAL,2010,13,40,3.7,-8.7,-0.1
Ronnie Price,UTA,2010,10,90,7.4,-3.6,0.0
Theo Ratliff,CHA,2010,4,47,-2.5,-10.2,-0.1
JJ Redick,ORL,2010,14,269,12.9,1.4,0.2
Chris Richard,CHI,2010,2,5,13.8,1.0,0.0
Jason Richardson,PHO,2010,16,533,22.3,6.5,1.1
Quentin Richardson,MIA,2010,5,149,11.1,1.9,0.1
Luke Ridnour,MIL,2010,7,121,16.0,0.4,0.1
Nate Robinson,BOS,2010,17,128,17.1,4.7,0.2
Rajon Rondo,BOS,2010,24,975,17.8,3.9,1.5
Derrick Rose,CHI,2010,5,212,19.4,2.9,0.3
Brandon Roy,POR,2010,3,83,4.5,-9.3,-0.2
John Salmons,MIL,2010,7,285,15.0,1.5,0.3
Brian Scalabrine,BOS,2010,1,1,0.0,-3.1,0.0
Thabo Sefolosha,OKC,2010,6,127,9.3,1.1,0.1
J.R. Smith,DEN,2010,6,159,12.5,-1.2,0.0
Joe Smith,ATL,2010,5,24,-4.4,-12.4,-0.1
Josh Smith,ATL,2010,11,392,20.2,4.7,0.7
Jerry Stackhouse,MIL,2010,7,144,11.8,-0.3,0.1
DeShawn Stevenson,DAL,2010,2,6,-27.2,-29.7,0.0
Amar'e Stoudemire,PHO,2010,16,584,21.2,1.2,0.5
Jeff Teague,ATL,2010,9,59,4.7,-4.5,0.0
Garrett Temple,SAS,2010,6,15,8.9,1.0,0.0
Jason Terry,DAL,2010,6,174,11.8,-0.1,0.1
Etan Thomas,OKC,2010,2,17,30.0,8.9,0.0
Kurt Thomas,MIL,2010,7,199,10.0,-0.6,0.1
Tyrus Thomas,CHA,2010,4,68,23.2,4.9,0.1
Anderson VarejÃ£o,CLE,2010,11,255,11.6,-1.1,0.1
Sasha VujaÄiÄ,LAL,2010,10,76,14.1,3.5,0.1
Dwyane Wade*,MIA,2010,5,210,29.4,13.5,0.8
Gerald Wallace,CHA,2010,4,164,19.7,7.2,0.4
Rasheed Wallace,BOS,2010,24,410,10.4,-0.1,0.2
Luke Walton,LAL,2010,16,96,4.4,-4.7,-0.1
Hakim Warrick,CHI,2010,3,31,0.6,-11.2,-0.1
Kyle Weaver,OKC,2010,1,12,2.5,-6.6,0.0
Martell Webster,POR,2010,6,152,13.3,-0.6,0.1
Delonte West,CLE,2010,11,269,8.9,-2.1,0.0
Mario West,ATL,2010,7,20,13.3,-0.8,0.0
Russell Westbrook,OKC,2010,6,212,24.3,8.2,0.6
Deron Williams,UTA,2010,10,398,23.5,5.7,0.8
Jason Williams,ORL,2010,14,192,8.4,-1.5,0.0
Jawad Williams,CLE,2010,3,4,-24.4,-28.8,0.0
Marvin Williams,ATL,2010,11,345,12.0,-1.1,0.1
Mo Williams,CLE,2010,11,411,12.1,-1.0,0.1
Shelden Williams,BOS,2010,8,57,3.2,-9.2,-0.1
Metta World Peace,LAL,2010,23,839,10.8,-0.3,0.4
Dorell Wright,MIA,2010,5,112,7.7,-1.7,0.0
Arron Afflalo,DEN,2011,3,85,7.9,-2.7,0.0
LaMarcus Aldridge,POR,2011,6,258,19.2,1.0,0.2
Malik Allen,ORL,2011,1,7,-5.7,-12.7,0.0
Ray Allen*,BOS,2011,9,361,19.6,7.1,0.8
Tony Allen,MEM,2011,13,350,10.7,-0.9,0.1
Chris Andersen,DEN,2011,5,73,19.1,6.4,0.2
Ryan Anderson,ORL,2011,6,147,8.3,-1.0,0.0
Carmelo Anthony*,NYK,2011,4,156,22.5,6.6,0.3
Joel Anthony,MIA,2011,21,575,7.6,-0.6,0.2
Gilbert Arenas,ORL,2011,5,81,15.9,1.3,0.1
Trevor Ariza,NOH,2011,6,241,15.1,2.3,0.3
Hilton Armstrong,ATL,2011,8,35,6.4,-5.2,0.0
Darrell Arthur,MEM,2011,13,201,14.8,-0.9,0.1
Ãmer AÅÄ±k,CHI,2011,15,148,4.3,-5.8,-0.1
J.J. Barea,DAL,2011,21,390,16.8,0.3,0.2
Matt Barnes,LAL,2011,10,131,9.7,-3.5,0.0
Earl Barron,POR,2011,1,0,,-4.0,0.0
Brandon Bass,ORL,2011,6,139,13.2,-0.2,0.1
Tony Battie,PHI,2011,5,38,8.2,-3.7,0.0
Shane Battier,MEM,2011,13,339,9.9,0.5,0.2
Nicolas Batum,POR,2011,6,151,10.3,0.2,0.1
Marco Belinelli,NOH,2011,6,173,6.5,-4.6,-0.1
Mike Bibby,MIA,2011,20,415,3.6,-4.6,-0.3
Chauncey Billups*,NYK,2011,1,35,3.4,-7.8,-0.1
DeJuan Blair,SAS,2011,4,50,9.6,-6.9,-0.1
Steve Blake,LAL,2011,9,145,8.0,0.0,0.1
Keith Bogans,CHI,2011,16,307,9.3,0.9,0.2
Matt Bonner,SAS,2011,6,123,11.8,0.6,0.1
Carlos Boozer,CHI,2011,16,507,15.2,-0.3,0.2
Chris Bosh*,MIA,2011,21,834,18.4,1.1,0.6
Elton Brand,PHI,2011,5,185,17.4,0.6,0.1
Corey Brewer,DAL,2011,6,23,12.9,-2.0,0.0
Ronnie Brewer,CHI,2011,16,260,13.7,3.6,0.4
Shannon Brown,LAL,2011,10,166,14.5,0.1,0.1
Kobe Bryant*,LAL,2011,10,354,20.6,3.4,0.5
Rasual Butler,CHI,2011,3,7,23.5,10.6,0.0
Andrew Bynum,LAL,2011,10,320,20.6,0.8,0.2
Marcus Camby,POR,2011,6,167,13.1,1.4,0.1
Brian Cardinal,DAL,2011,9,37,7.3,-0.5,0.0
Anthony Carter,NYK,2011,4,49,18.0,4.3,0.1
Mario Chalmers,MIA,2011,21,511,12.5,1.5,0.4
Tyson Chandler,DAL,2011,21,680,15.2,0.6,0.5
Wilson Chandler,DEN,2011,5,115,4.0,-5.2,-0.1
Earl Clark,ORL,2011,1,6,44.4,23.5,0.0
Jason Collins,ATL,2011,12,158,3.8,-4.7,-0.1
Darren Collison,IND,2011,5,146,11.9,-0.8,0.0
Nick Collison,OKC,2011,17,413,16.2,3.1,0.5
Mike Conley,MEM,2011,13,507,13.7,-0.5,0.2
Daequan Cook,OKC,2011,17,195,8.2,-2.4,0.0
Jamal Crawford,ATL,2011,12,358,16.1,1.8,0.3
Glen Davis,BOS,2011,9,191,5.2,-4.9,-0.1
Luol Deng,CHI,2011,16,687,15.4,2.4,0.8
Toney Douglas,NYK,2011,4,112,10.5,-2.1,0.0
Chris Duhon,ORL,2011,1,4,53.8,30.6,0.0
Tim Duncan*,SAS,2011,6,212,15.5,1.1,0.2
Mike Dunleavy,IND,2011,5,72,14.9,4.3,0.1
Kevin Durant,OKC,2011,17,722,24.1,5.9,1.4
Patrick Ewing,NOH,2011,2,2,75.9,49.9,0.0
Raymond Felton,DEN,2011,5,152,11.2,-1.5,0.0
Rudy FernÃ¡ndez,POR,2011,6,81,6.8,-3.4,0.0
Landry Fields,NYK,2011,4,71,0.3,-7.5,-0.1
Derek Fisher,LAL,2011,10,325,12.4,1.5,0.3
Gary Forbes,DEN,2011,1,2,-12.4,-20.7,0.0
T.J. Ford,IND,2011,2,14,21.9,5.2,0.0
Jeff Foster,IND,2011,5,93,10.2,-1.8,0.0
Danilo Gallinari,DEN,2011,5,148,11.9,0.6,0.1
Kevin Garnett*,BOS,2011,9,328,17.3,2.4,0.4
Marc Gasol,MEM,2011,13,519,18.9,3.9,0.8
Pau Gasol*,LAL,2011,10,358,17.3,1.9,0.4
Paul George,IND,2011,5,133,10.0,1.1,0.1
Taj Gibson,CHI,2011,16,284,16.5,1.5,0.3
Manu GinÃ³bili*,SAS,2011,5,174,22.3,7.1,0.4
Danny Granger,IND,2011,5,183,22.0,6.6,0.4
Aaron Gray,NOH,2011,6,87,9.6,-1.7,0.0
Danny Green,SAS,2011,4,7,26.0,16.1,0.0
Jeff Green,BOS,2011,9,173,9.9,-1.7,0.0
Willie Green,NOH,2011,6,84,6.1,-6.7,-0.1
Hamed Haddadi,MEM,2011,9,31,11.7,-2.9,0.0
Tyler Hansbrough,IND,2011,5,164,8.9,-5.4,-0.1
James Harden,OKC,2011,17,537,19.1,5.7,1.0
Al Harrington,DEN,2011,5,70,12.8,3.0,0.1
Udonis Haslem,MIA,2011,12,290,7.1,-4.1,-0.1
Spencer Hawes,PHI,2011,5,98,8.1,-3.3,0.0
Brendan Haywood,DAL,2011,18,275,10.7,-1.6,0.0
Roy Hibbert,IND,2011,5,132,12.4,-4.0,-0.1
NenÃª,DEN,2011,5,162,17.1,1.8,0.2
George Hill,SAS,2011,6,189,15.6,2.4,0.2
Kirk Hinrich,ATL,2011,6,173,14.6,3.2,0.2
Jrue Holiday,PHI,2011,5,188,17.2,4.8,0.3
Al Horford,ATL,2011,12,468,13.3,0.0,0.2
Eddie House,MIA,2011,7,48,0.3,-9.0,-0.1
Dwight Howard*,ORL,2011,6,258,26.1,5.0,0.5
Juwan Howard,MIA,2011,11,60,9.0,-3.6,0.0
Serge Ibaka,OKC,2011,17,490,15.2,-0.8,0.1
Andre Iguodala,PHI,2011,5,182,14.4,1.1,0.1
Zydrunas Ilgauskas,MIA,2011,9,104,10.7,-5.5,-0.1
D.J. Mbenga,NOH,2011,5,26,16.3,5.7,0.1
Royal Ivey,OKC,2011,2,6,57.0,42.3,0.1
Jarrett Jack,NOH,2011,6,111,8.5,-5.1,-0.1
LeBron James,MIA,2011,21,922,23.7,7.1,2.1
Richard Jefferson,SAS,2011,6,176,7.7,-1.4,0.0
Jared Jeffries,NYK,2011,4,85,16.8,2.7,0.1
Armon Johnson,POR,2011,2,0,,-7.4,0.0
Chris Johnson,POR,2011,4,19,16.4,5.1,0.0
Joe Johnson,ATL,2011,12,497,15.3,0.7,0.3
Trey Johnson,LAL,2011,3,12,3.2,-10.5,0.0
Dahntay Jones,IND,2011,3,50,13.1,-0.8,0.0
James Jones,MIA,2011,12,272,11.5,1.5,0.2
Jason Kidd*,DAL,2011,21,744,15.7,4.8,1.3
Kyle Korver,CHI,2011,16,276,8.9,-1.5,0.0
Kosta Koufos,DEN,2011,1,2,43.8,18.5,0.0
Nenad KrstiÄ,BOS,2011,7,56,11.1,0.1,0.0
Carl Landry,NOH,2011,6,213,14.4,-1.2,0.0
Ty Lawson,DEN,2011,5,167,20.1,5.4,0.3
Jamaal Magloire,MIA,2011,3,18,8.9,-1.0,0.0
Ian Mahinmi,DAL,2011,6,33,7.5,-8.4,-0.1
Shawn Marion,DAL,2011,21,690,15.1,0.9,0.5
Kenyon Martin,DEN,2011,5,148,12.9,-0.7,0.0
Roger Mason,NYK,2011,3,55,10.4,-0.5,0.0
Wesley Matthews,POR,2011,6,202,12.8,-0.9,0.1
Eric Maynor,OKC,2011,17,220,13.3,-0.7,0.1
O.J. Mayo,MEM,2011,13,362,12.5,0.6,0.2
Antonio McDyess,SAS,2011,6,145,7.9,-3.2,0.0
Josh McRoberts,IND,2011,5,79,10.3,-2.9,0.0
Jodie Meeks,PHI,2011,5,125,11.5,0.5,0.1
Andre Miller,POR,2011,6,194,18.9,1.5,0.2
Mike Miller,MIA,2011,18,215,8.4,-0.7,0.1
Patty Mills,POR,2011,2,5,-26.8,-34.8,0.0
Nazr Mohammed,OKC,2011,14,148,5.6,-5.8,-0.1
Troy Murphy,BOS,2011,1,3,13.8,1.1,0.0
Gary Neal,SAS,2011,6,111,11.3,-1.5,0.0
Jameer Nelson,ORL,2011,6,216,15.4,3.2,0.3
Joakim Noah,CHI,2011,16,529,16.9,2.4,0.6
AndrÃ©s Nocioni,PHI,2011,1,10,-17.8,-23.7,-0.1
Steve Novak,SAS,2011,1,6,2.5,-5.3,0.0
Dirk Nowitzki*,DAL,2011,21,826,25.2,5.5,1.6
Jermaine O'Neal,BOS,2011,9,197,11.9,0.4,0.1
Shaquille O'Neal*,BOS,2011,2,12,1.3,-5.2,0.0
Lamar Odom,LAL,2011,10,286,15.5,0.1,0.2
Emeka Okafor,NOH,2011,6,188,9.2,-3.8,-0.1
Zaza Pachulia,ATL,2011,11,195,9.9,-2.4,0.0
Tony Parker*,SAS,2011,6,221,17.6,1.1,0.2
Chris Paul,NOH,2011,6,250,28.9,10.5,0.8
Kendrick Perkins,OKC,2011,17,479,6.1,-4.1,-0.2
Paul Pierce*,BOS,2011,9,343,17.6,3.7,0.5
Quincy Pondexter,NOH,2011,3,9,-10.0,-21.3,0.0
Leon Powe,MEM,2011,4,14,12.8,-7.4,0.0
Josh Powell,ATL,2011,9,48,5.7,-5.5,0.0
A.J. Price,IND,2011,5,80,14.4,1.0,0.1
Zach Randolph,MEM,2011,13,515,22.0,3.5,0.7
Theo Ratliff,LAL,2011,1,1,15.7,7.0,0.0
JJ Redick,ORL,2011,6,120,5.8,-5.4,-0.1
Jason Richardson,ORL,2011,5,153,9.7,-0.3,0.1
Quentin Richardson,ORL,2011,6,98,10.7,3.2,0.1
Nate Robinson,OKC,2011,3,12,16.9,0.4,0.0
Rajon Rondo,BOS,2011,9,345,16.7,1.3,0.3
Derrick Rose,CHI,2011,16,649,22.5,6.9,1.5
Brandon Roy,POR,2011,6,138,16.4,1.7,0.1
Brandon Rush,IND,2011,5,55,11.1,0.5,0.0
Thabo Sefolosha,OKC,2011,17,344,10.3,0.6,0.2
Ish Smith,MEM,2011,5,10,22.6,7.8,0.0
J.R. Smith,DEN,2011,5,76,12.0,-1.0,0.0
Jason Smith,NOH,2011,6,58,6.3,-4.6,0.0
Joe Smith,LAL,2011,5,11,-5.9,-14.1,0.0
Josh Smith,ATL,2011,12,438,15.4,1.4,0.4
Marreese Speights,PHI,2011,2,21,-6.0,-15.1,-0.1
Tiago Splitter,SAS,2011,3,50,21.1,3.5,0.1
DeShawn Stevenson,DAL,2011,21,332,7.2,-0.7,0.1
Peja StojakoviÄ,DAL,2011,19,350,12.0,0.7,0.2
Amar'e Stoudemire,NYK,2011,4,134,10.7,-4.1,-0.1
Pape Sy,ATL,2011,4,11,31.1,18.2,0.1
Jeff Teague,ATL,2011,8,238,17.3,2.7,0.3
Jason Terry,DAL,2011,21,684,20.3,4.6,1.1
Etan Thomas,ATL,2011,1,7,-9.2,-19.1,0.0
Kurt Thomas,CHI,2011,7,74,13.4,0.1,0.0
Ronny Turiaf,NYK,2011,4,75,17.2,4.9,0.1
Hedo TÃ¼rkoÄlu,ORL,2011,6,209,6.9,-1.5,0.0
Evan Turner,PHI,2011,5,97,17.3,3.9,0.1
Greivis VÃ¡squez,MEM,2011,13,142,18.8,5.2,0.2
Dwyane Wade*,MIA,2011,21,828,26.3,8.4,2.2
Von Wafer,BOS,2011,3,5,-13.5,-22.8,0.0
Henry Walker,NYK,2011,4,89,4.2,-7.0,-0.1
Gerald Wallace,POR,2011,6,226,18.1,2.7,0.3
Luke Walton,LAL,2011,1,4,-46.7,-46.4,0.0
C.J. Watson,CHI,2011,16,136,10.6,-3.2,0.0
Delonte West,BOS,2011,9,170,10.5,-0.9,0.0
Russell Westbrook,OKC,2011,17,638,19.6,1.1,0.5
Damien Wilkins,ATL,2011,8,39,17.9,3.4,0.1
Lou Williams,PHI,2011,5,130,12.9,0.6,0.1
Marvin Williams,ATL,2011,12,216,8.9,-2.2,0.0
Shawne Williams,NYK,2011,4,101,13.7,2.5,0.1
Metta World Peace,LAL,2011,9,287,15.3,3.0,0.4
Sam Young,MEM,2011,13,256,10.3,-2.9,-0.1
Thaddeus Young,PHI,2011,5,127,13.8,-2.2,0.0
Arron Afflalo,DEN,2012,7,229,10.9,-1.6,0.0
Blake Ahearn,UTA,2012,3,8,33.9,21.0,0.0
Cole Aldrich,OKC,2012,5,25,19.8,-5.0,0.0
Lavoy Allen,PHI,2012,12,236,17.1,2.6,0.3
Ray Allen*,BOS,2012,18,616,10.0,-0.7,0.2
Tony Allen,MEM,2012,7,170,9.9,-0.1,0.1
Lou Amundson,IND,2012,11,94,12.3,0.2,0.1
James Anderson,SAS,2012,8,31,16.3,4.7,0.1
Ryan Anderson,ORL,2012,5,172,7.1,-4.0,-0.1
Carmelo Anthony*,NYK,2012,5,204,21.5,4.7,0.3
Joel Anthony,MIA,2012,17,329,9.9,0.4,0.2
Gilbert Arenas,MEM,2012,6,23,-8.1,-16.0,-0.1
Ãmer AÅÄ±k,CHI,2012,6,128,8.6,-0.2,0.1
Jeff Ayres,IND,2012,4,9,0.2,-11.4,0.0
Kelenna Azubuike,DAL,2012,1,5,21.6,14.5,0.0
Leandro Barbosa,IND,2012,11,223,5.3,-4.9,-0.2
Matt Barnes,LAL,2012,11,185,4.2,-6.1,-0.2
Brandon Bass,BOS,2012,20,608,14.5,0.8,0.4
Shane Battier,MIA,2012,23,768,8.5,1.0,0.6
Rodrigue Beaubois,DAL,2012,2,12,-5.8,-12.0,0.0
Mike Bibby,NYK,2012,5,118,11.7,3.2,0.2
DeJuan Blair,SAS,2012,10,76,22.9,5.2,0.1
Steve Blake,LAL,2012,12,306,10.3,-1.0,0.1
Eric Bledsoe,LAC,2012,11,189,22.2,6.2,0.4
Matt Bonner,SAS,2012,13,165,5.6,-1.6,0.0
Carlos Boozer,CHI,2012,6,200,9.8,-2.2,0.0
Chris Bosh*,MIA,2012,14,439,19.7,2.5,0.5
Avery Bradley,BOS,2012,10,248,6.9,-3.4,-0.1
Elton Brand,PHI,2012,13,356,14.1,0.8,0.3
Corey Brewer,DEN,2012,7,116,18.7,3.8,0.2
Ronnie Brewer,CHI,2012,5,83,4.2,-3.5,0.0
Kobe Bryant*,LAL,2012,12,476,24.4,5.4,0.9
Alec Burks,UTA,2012,4,63,9.7,-3.0,0.0
Caron Butler,LAC,2012,10,268,6.2,-5.7,-0.3
Jimmy Butler,CHI,2012,3,4,-4.9,-10.8,0.0
Andrew Bynum,LAL,2012,12,451,22.9,4.0,0.7
Brian Cardinal,DAL,2012,2,9,16.8,8.1,0.0
DeMarre Carroll,UTA,2012,4,73,11.0,-0.7,0.0
Vince Carter*,DAL,2012,4,107,6.2,-5.3,-0.1
