Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
82,NenÃª,C,27,DEN,5,5,33.8,3.6,5.8,.621,0.0,0.0,,3.6,5.8,.621,.621,4.2,7.2,.583,1.6,4.2,5.8,2.2,1.2,0.2,0.8,3.4,11.4,2010
83,George Hill,PG,23,SAS,10,8,34.4,4.6,10.2,.451,1.1,2.9,.379,3.5,7.3,.479,.505,3.1,3.7,.838,0.5,2.6,3.1,0.7,1.0,0.2,0.8,2.1,13.4,2010
84,Grant Hill*,SF,37,PHO,16,16,28.3,3.7,7.7,.480,0.2,1.0,.188,3.5,6.7,.523,.492,2.1,2.4,.868,0.8,5.1,5.8,2.3,0.8,0.6,1.2,2.9,9.6,2010
85,Kirk Hinrich,SG,29,CHI,5,5,39.2,4.4,10.4,.423,1.6,3.2,.500,2.8,7.2,.389,.500,2.0,2.8,.714,0.2,4.2,4.4,4.0,1.4,0.0,0.4,2.8,12.4,2010
86,Al Horford,C,23,ATL,11,11,35.3,6.1,11.6,.523,0.1,0.1,1.000,6.0,11.5,.520,.527,2.4,2.8,.839,2.5,6.5,9.0,1.8,0.7,1.7,1.4,3.2,14.6,2010
87,Dwight Howard*,C,24,ORL,14,14,35.5,6.1,10.0,.614,0.0,0.0,,6.1,10.0,.614,.614,5.9,11.3,.519,2.7,8.4,11.1,1.4,0.8,3.5,3.6,4.2,18.1,2010
88,Juwan Howard,C,36,POR,6,0,14.5,1.7,3.2,.526,0.0,0.0,,1.7,3.2,.526,.526,0.0,0.0,,1.3,1.3,2.7,0.7,0.2,0.2,0.5,3.3,3.3,2010
89,Larry Hughes,SG,31,CHA,4,0,14.5,2.0,4.3,.471,1.0,2.5,.400,1.0,1.8,.571,.588,1.0,1.8,.571,0.3,3.0,3.3,1.5,0.0,0.0,0.8,2.0,6.0,2010
90,Serge Ibaka,PF,20,OKC,6,0,25.5,3.3,5.8,.571,0.0,0.0,,3.3,5.8,.571,.571,1.2,1.7,.700,2.2,4.3,6.5,0.3,0.3,2.0,1.0,3.2,7.8,2010
91,Zydrunas Ilgauskas,C,34,CLE,7,0,9.9,0.7,1.9,.385,0.0,0.0,,0.7,1.9,.385,.385,0.3,0.4,.667,1.0,0.6,1.6,0.4,0.0,1.0,0.1,1.4,1.7,2010
92,D.J. Mbenga,C,29,LAL,3,0,4.0,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.3,0.3,1.000,0.0,1.7,1.7,0.3,0.0,0.0,0.0,0.7,1.7,2010
93,Ersan Ä°lyasova,PF,22,MIL,7,0,22.4,3.4,7.1,.480,0.7,2.0,.357,2.7,5.1,.528,.530,2.1,2.6,.833,3.0,4.6,7.6,0.4,0.7,0.1,1.4,2.0,9.7,2010
94,Royal Ivey,SG,28,MIL,3,0,3.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.3,1.3,2010
95,Stephen Jackson,SG,31,CHA,4,4,39.0,6.0,16.8,.358,0.8,4.5,.167,5.3,12.3,.429,.381,5.3,6.5,.808,1.5,3.5,5.0,3.8,1.3,0.3,4.3,3.3,18.0,2010
96,LeBron James,SF,25,CLE,11,11,41.8,9.6,19.2,.502,1.8,4.5,.400,7.8,14.6,.534,.550,8.0,10.9,.733,1.4,7.9,9.3,7.6,1.7,1.8,3.8,2.1,29.1,2010
97,Antawn Jamison,PF,33,CLE,11,11,34.1,5.8,12.5,.467,0.9,3.5,.256,4.9,8.9,.551,.504,2.7,3.7,.732,1.5,5.9,7.4,1.3,0.6,1.0,1.6,3.5,15.3,2010
98,Othyus Jeffers,SG,24,UTA,6,0,1.7,0.2,1.0,.167,0.0,0.0,,0.2,1.0,.167,.167,0.0,0.2,.000,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.3,2010
99,Richard Jefferson,SF,29,SAS,10,10,33.4,3.4,7.0,.486,0.1,0.5,.200,3.3,6.5,.508,.493,2.5,3.3,.758,0.8,4.5,5.3,1.8,0.6,0.6,1.5,2.0,9.4,2010
100,Brandon Jennings,PG,20,MIL,7,7,35.6,7.0,17.1,.408,1.7,5.9,.293,5.3,11.3,.468,.458,3.0,3.7,.808,0.7,2.3,3.0,3.6,1.1,0.6,1.1,2.7,18.7,2010
101,Anthony Johnson,PG,35,ORL,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2010
102,James Johnson,PF,22,CHI,4,0,5.0,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.5,2.8,0.0,2010
103,Joe Johnson,SG,28,ATL,11,11,40.0,7.0,18.1,.387,0.8,3.7,.220,6.2,14.4,.430,.410,3.1,3.8,.810,1.8,3.3,5.1,5.0,0.9,0.3,2.3,2.0,17.9,2010
104,Dwayne Jones,PF,26,PHO,2,0,5.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,1.5,2.0,.750,0.5,2.0,2.5,0.0,0.0,0.0,0.5,0.0,2.5,2010
105,James Jones,SF,29,MIA,1,0,9.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2010
106,Jason Kidd*,PG,36,DAL,6,6,40.5,2.3,7.7,.304,1.5,4.7,.321,0.8,3.0,.278,.402,1.8,2.0,.917,1.0,5.8,6.8,7.0,2.3,0.2,1.5,2.5,8.0,2010
107,Andrei Kirilenko,SF,28,UTA,2,0,15.0,2.5,5.0,.500,0.0,0.5,.000,2.5,4.5,.556,.500,0.5,0.5,1.000,1.5,1.5,3.0,0.0,0.5,0.5,0.0,1.0,5.5,2010
108,Kyle Korver,SG,28,UTA,10,0,21.0,3.2,6.1,.525,1.1,2.3,.478,2.1,3.8,.553,.615,0.8,0.9,.889,0.0,1.1,1.1,1.3,0.5,0.0,0.7,2.2,8.3,2010
109,Kosta Koufos,C,20,UTA,9,0,3.4,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.0,0.0,,0.4,0.6,1.0,0.0,0.0,0.1,0.2,0.2,0.9,2010
110,Nenad KrstiÄ,C,26,OKC,6,6,21.5,2.5,6.2,.405,0.0,0.0,,2.5,6.2,.405,.405,2.2,2.3,.929,2.5,3.3,5.8,0.7,0.5,0.7,0.8,2.5,7.2,2010
111,Ty Lawson,PG,22,DEN,6,0,19.7,2.5,5.8,.429,0.7,1.7,.400,1.8,4.2,.440,.486,2.2,3.2,.684,0.7,0.7,1.3,2.7,1.0,0.0,1.3,3.0,7.8,2010
112,Rashard Lewis,PF,30,ORL,14,14,36.6,4.7,10.2,.462,2.0,5.4,.373,2.7,4.9,.559,.559,1.4,1.8,.800,1.1,4.6,5.6,2.3,1.1,0.7,1.8,2.7,12.9,2010
113,Robin Lopez,C,21,PHO,6,6,17.3,3.2,5.8,.543,0.0,0.0,,3.2,5.8,.543,.543,1.5,1.5,1.000,2.0,2.0,4.0,0.0,0.3,0.2,0.5,1.8,7.8,2010
114,Jamaal Magloire,C,31,MIA,1,0,5.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2010
115,Ian Mahinmi,C,23,SAS,2,0,9.5,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,1.5,2.0,.750,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.5,4.5,2010
116,Shawn Marion,SF,31,DAL,6,6,24.7,4.0,9.8,.407,0.0,0.7,.000,4.0,9.2,.436,.407,0.7,0.8,.800,1.2,3.0,4.2,1.0,0.2,0.5,1.3,2.0,8.7,2010
117,Kenyon Martin,PF,32,DEN,6,6,34.2,4.0,8.3,.480,0.0,0.2,.000,4.0,8.2,.490,.480,2.0,3.2,.632,2.3,6.0,8.3,1.3,1.5,1.2,1.8,4.5,10.0,2010
118,Roger Mason,SG,29,SAS,6,0,10.2,0.2,2.0,.083,0.2,1.2,.143,0.0,0.8,.000,.125,0.0,0.0,,0.0,0.7,0.7,0.3,0.2,0.0,0.3,2.0,0.5,2010
119,Wesley Matthews,SG,23,UTA,10,10,37.1,3.9,10.1,.386,1.5,4.2,.357,2.4,5.9,.407,.460,3.9,4.8,.813,1.0,3.4,4.4,1.7,1.8,0.5,1.5,3.4,13.2,2010
120,Eric Maynor,PG,22,OKC,6,0,12.7,1.0,3.3,.300,0.2,1.0,.167,0.8,2.3,.357,.325,1.5,1.8,.818,0.2,1.3,1.5,1.5,0.2,0.2,0.8,0.8,3.7,2010
121,Luc Mbah a Moute,PF,23,MIL,7,7,25.4,3.7,7.1,.520,0.0,0.3,.000,3.7,6.9,.542,.520,1.7,2.9,.600,2.0,3.6,5.6,0.7,0.3,0.0,1.0,2.1,9.1,2010
122,Antonio McDyess,PF,35,SAS,10,10,24.7,3.3,6.2,.532,0.0,0.0,,3.3,6.2,.532,.532,0.2,0.2,1.000,1.8,5.0,6.8,1.2,0.2,0.7,0.9,2.7,6.8,2010
